112 misere(2,11) 3.760 2
402 misere(2,40) 3.770 5
167 misere(7,16) 3.770 2
523 misere(3,52) 3.770 1
160 misere(0,16) 3.770 0
324 misere(4,32) 3.770 4
176 misere(6,17) 3.770 1
288 misere(8,28) 3.770 5
135 misere(5,13) 3.770 4
154 misere(4,15) 3.770 2
336 misere(6,33) 3.770 4
268 misere(8,26) 3.770 4
342 misere(2,34) 3.770 4
343 misere(3,34) 3.770 1
214 misere(4,21) 3.770 4
244 misere(4,24) 3.770 4
228 misere(8,22) 3.770 2
348 misere(8,34) 3.770 4
117 misere(7,11) 3.780 4
89 misere(9,8) 3.780 1
303 misere(3,30) 3.780 3
165 misere(5,16) 3.780 4
516 misere(6,51) 3.780 0
164 misere(4,16) 3.780 3
363 misere(3,36) 3.780 2
174 misere(4,17) 3.780 5
133 misere(3,13) 3.780 1
146 misere(6,14) 3.780 3
419 misere(9,41) 3.780 0
334 misere(4,33) 3.780 3
530 misere(0,53) 3.790 5
596 misere(6,59) 3.790 2
255 misere(5,25) 3.790 3
29 misere(9,2) 3.790 1
377 misere(7,37) 3.790 3
376 misere(6,37) 3.800 2
378 misere(8,37) 3.800 0
322 misere(2,32) 3.800 3
237 misere(7,23) 3.800 3
142 misere(2,14) 3.800 2
505 misere(5,50) 3.800 0
239 misere(9,23) 3.800 1
92 misere(2,9) 3.800 3
534 misere(4,53) 3.800 0
493 misere(3,49) 3.810 0
391 misere(1,39) 3.810 4
521 misere(1,52) 3.810 2
74 misere(4,7) 3.810 3
287 misere(7,28) 3.810 4
40 misere(0,4) 3.810 2
495 misere(5,49) 3.810 5
181 misere(1,18) 3.810 3
431 misere(1,43) 3.810 0
226 misere(6,22) 3.810 4
285 misere(5,28) 3.810 3
215 misere(5,21) 3.820 2
129 misere(9,12) 3.820 4
551 misere(1,55) 3.820 0
566 misere(6,56) 3.820 1
558 misere(8,55) 3.820 5
415 misere(5,41) 3.820 3
104 misere(4,10) 3.820 3
127 misere(7,12) 3.820 1
518 misere(8,51) 3.820 5
123 misere(3,12) 3.820 4
581 misere(1,58) 3.830 5
144 misere(4,14) 3.830 5
199 misere(9,19) 3.830 3
141 misere(1,14) 3.830 4
373 misere(3,37) 3.830 0
251 misere(1,25) 3.830 0
162 misere(2,16) 3.830 5
305 misere(5,30) 3.830 4
512 misere(2,51) 3.830 5
177 misere(7,17) 3.830 0
